,title,price,location,sales
332,华为HUAWEI HUAWEI Mate 30 Pro 5G ,3418.0,浙江 杭州,648人收货
333,华为C2829,25.0,广东 深圳,645人收货
334,Huawei,748.0,广东 深圳,645人收货
335,苹果 iPhone XR,2780.0,广东 深圳,643人收货
336,Huawei,999.0,广东 深圳,643人收货
337,华为honor,1699.0,广东 深圳,643人收货
339,苹果 iPhone X ,2380.0,广东 深圳,641人收货
340,苹果 iPhone XS Max,3550.0,广东 深圳,641人收货
341,红米8A ,699.0,北京,637人收货
342,华为,898.0,广东 深圳,637人收货
344,华为 Mate 30 5G,4999.0,广东 深圳,629人收货
345,华为HONOR ,1599.0,山东 济南,627人收货
346,苹果 iPhone 8 Plus ,2700.0,广东 深圳,627人收货
347,华为HONOR,1699.0,广东 深圳,626人收货
348,诺基亚,168.0,广东 深圳,625人收货
349,OPPO Reno2 Z,2299.0,广东 东莞,624人收货
350,Xiaomi,918.0,广东 深圳,624人收货
351,华为HUAWEI HUAWEI P30 PRO,2678.0,广东 深圳,623人收货
354,小辣椒P60,499.0,广东 深圳,617人收货
357,苹果 iPhone 8 128G ,3999.0,江苏 南京,615人收货
358,vivo y67,358.0,广东 深圳,614人收货
359,诺基亚,178.0,广东 深圳,613人收货
360,华为,1999.0,广东 深圳,611人收货
361,OPPO A11 ,1299.0,广东 东莞,609人收货
362,Huawei,1799.0,广东 深圳,604人收货
364,飞利浦 E107 ,79.0,江苏 南京,601人收货
365,Samsung,1599.0,广东 深圳,598人收货
366,华为HONOR,1099.0,广东 深圳,595人收货
367,OPPO A5,699.0,广东 深圳,595人收货
368,Huawei,300.0,广东 深圳,592人收货
369,vivo Z5x,1298.0,广东 东莞,591人收货
370,vivo y67,328.0,广东 深圳,587人收货
371,vivo iQOO Pro 5G,3498.0,江苏 南京,585人收货
372,华为HONO ,2699.0,山东 济南,582人收货
374,vivo z5,1398.0,上海,581人收货
375,Xiaomi,1468.0,广东 深圳,580人收货
376,天语Q3,98.0,广西 桂林,579人收货
377,华为,3408.0,浙江 杭州,575人收货
378,Samsung,1280.0,上海,573人收货
379,华为honor,519.0,广东 深圳,572人收货
380,Huawei,1118.0,浙江 杭州,570人收货
381,华为mate30 5G ,3418.0,广东 深圳,570人收货
382,华为mate305G HUAWEI HUAWEI Mate 30 Pro 5G,3428.0,广东 深圳,565人收货
383,Huawei,1199.0,安徽 合肥,563人收货
385,Huawei,838.0,浙江 杭州,559人收货
386,苹果 iPhone 8 Plus ,1118.0,广东 深圳,558人收货
387,诺基亚,118.0,广东 东莞,554人收货
389,华为HONOR ,2199.0,山东 济南,551人收货
